indextitle; Modulo de contacto web vï¿½a Skype
indexadmintitle; Administracion del modulo Contacto Skype
assignautotitle; Asignacion automatica del operador
addusertitle; Agregar nuevo usuario
operatortitle; Bienvenido 
name; Nombre
username; Usuario de Skype
operatorstatus; Estado del operador
chatsession; Chat con el operador
actions; Acciones
noskypecontacts; No existen contactaos de skype acutalmente
addskypecontact; Agregar contacto de Skype
useradmin; Administracion de usuarios
modify; Modificar
delete; Eliminar
add; Agregar
selectstatus; Seleccionar Estado
avaliable; Disponible
busy; Ocupado
actualstatus; Estado actual
avaliableoperator; Operador disponible
notavaliableoperator; No se encontraron operadores disponibles, pruebe de nuevo...





